Package	Version	File	URL	SHA256
mgcv	1.9-1	mgcv_1.9-1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/mgcv_1.9-1.tar.gz	sha256:b56d8c070f33afcffcc2a2781e9791a7286415e2ba8fd1e3c7c86580ec561338
mime	0.13	mime_0.13.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/mime_0.13.tar.gz	sha256:7132834cf3c3388eff12bad376d69fbcf8275acc37d36c290e59174fe3c7f3eb
miniUI	0.1.2	miniUI_0.1.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/miniUI_0.1.2.tar.gz	sha256:017a481f7584d385241720f568323b8636ddad385e7098ceff5c12ebf879c22f
munsell	0.5.1	munsell_0.5.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/munsell_0.5.1.tar.gz	sha256:03a2fd9ac40766cded96dfe33b143d872d0aaa262a25482ce19161ca959429a6
nlme	3.1-166	nlme_3.1-166.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/nlme_3.1-166.tar.gz	sha256:cddac0aa2ef965d2e764e59f99a84111ad05e6e39561c4cd160310b81165c6a6
nnet	7.3-19	nnet_7.3-19.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/nnet_7.3-19.tar.gz	sha256:bd6ccb9428cd38199bed1fd2fb1b6815d6713cc791c303560af2c9093337b63d
nortest	1.0-4	nortest_1.0-4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/nortest_1.0-4.tar.gz	sha256:a3850a048181d5d059c1e74903437569873b430c915b709808237d71fee5209f
openssl	2.2.2	openssl_2.2.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/openssl_2.2.2.tar.gz	sha256:0cb45f413e8ce4664f79a20768fd7853c538ddb87f33819b5e7a6527ae828c96
otel	0.2.0	otel_0.2.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/otel_0.2.0.tar.gz	sha256:ef8afe5a1bc8074bbeb8a84134699ef348a1f8ac629ffba25ee43ea7bcd8dd17
pillar	1.11.1	pillar_1.11.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/pillar_1.11.1.tar.gz	sha256:056ce154238c9b5b8d5dcbcb52e1bc51d33870ce08c8a9ca9496478bd59f4653
pkgconfig	2.0.3	pkgconfig_2.0.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/pkgconfig_2.0.3.tar.gz	sha256:330fef440ffeb842a7dcfffc8303743f1feae83e8d6131078b5a44ff11bc3850
plotly	4.10.4	plotly_4.10.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/plotly_4.10.4.tar.gz	sha256:cfa995b7ed55d31a196707a3ae6ea352dd907cef3058a3bf1956fde39366d867
plotrix	3.8-4	plotrix_3.8-4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/plotrix_3.8-4.tar.gz	sha256:e6a22d93ab61c67af21cbbe1fe333c06934cf576a44745bf2beee59bceaae8d6
plyr	1.8.9	plyr_1.8.9.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/plyr_1.8.9.tar.gz	sha256:15b5e7f711d53bf41b8687923983b8ef424563aa2f74c5195feb5b1df1aee103
promises	1.5.0	promises_1.5.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/promises_1.5.0.tar.gz	sha256:bb68fd4065cc072996aed416f0b2388f58738797a3a38024720c29d67164747d
purrr	1.0.2	purrr_1.0.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/purrr_1.0.2.tar.gz	sha256:2c1bc6bb88433dff0892b41136f2f5c23573b335ff35a4775c72aa57b48bbb63
R6	2.6.1	R6_2.6.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/R6_2.6.1.tar.gz	sha256:59c6eba8b1b912eb7e104f65053235604be853425ee67c152ac4e86a1f2073b4
rappdirs	0.3.4	rappdirs_0.3.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/rappdirs_0.3.4.tar.gz	sha256:2320ebc9ef3b1a32a1e63f94a6ce2c1c34d66782221a6531e786804f681abc66
RColorBrewer	1.1-3	RColorBrewer_1.1-3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/RColorBrewer_1.1-3.tar.gz	sha256:4f42f5423c45688b39f492c7892d93f37b4541831c8ffb140364d2bd89031ac0
Rcpp	1.1.2	Rcpp_1.1.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/Rcpp_1.1.2.tar.gz	sha256:2746cf2fb188e5f0a84dbf5c8f68915b54564ed33e5754572f174e7b32e7f4f3
remotes	2.5.0	remotes_2.5.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/remotes_2.5.0.tar.gz	sha256:4d663f1426cd88d42f4070f23d969305c575e0499ed1397be6607b0770d2850c
renv	1.2.3	renv_1.2.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/renv_1.2.3.tar.gz	sha256:e349ae57877634ca6019b0be9042d92ad87b800097e23fafb55e1d26fcbd7b1d
rlang	1.3.0	rlang_1.3.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/rlang_1.3.0.tar.gz	sha256:80aa537d49e72265f443a15e8936128af583caa5e572086518b503cbf064279c
rmarkdown	2.31	rmarkdown_2.31.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/rmarkdown_2.31.tar.gz	sha256:0c5baed4a447292f15507794d2dde6b18bae1fa6c45ea6ada8bcd99ca211fcbc
rpart	4.1.23	rpart_4.1.23.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/rpart_4.1.23.tar.gz	sha256:f8b7bdd8db997701a0a40d1ebb5606945f49236e2f4ac26031b28f3716b0ca6c
rprojroot	2.0.4	rprojroot_2.0.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/rprojroot_2.0.4.tar.gz	sha256:b5f463fb25a24dac7a4ca916be57dbe22b5262e1f41e53871ca83e57d4336e99
S7	0.2.2	S7_0.2.2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/S7_0.2.2.tar.gz	sha256:6f33245dde05b74265b1c4d379e034bc3a8923d41e7b52e6e75a75ce97d42af7
sass	0.4.10	sass_0.4.10.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/sass_0.4.10.tar.gz	sha256:4adb4c243f74d811276529e346deaa064bce28dbfbb837208fc85f2c47b79b30
scales	1.4.0	scales_1.4.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/scales_1.4.0.tar.gz	sha256:d55ef5f08c92652d7a95cfa27584024723ab17873f1b2577dd488cb7c883ceee
shiny	1.14.0	shiny_1.14.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/shiny_1.14.0.tar.gz	sha256:4a6945ed450effdb90b44ca0439e241f13488af59508be1c2fdab3f4de9dad11
shinyjs	2.1.1	shinyjs_2.1.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/shinyjs_2.1.1.tar.gz	sha256:8f0b12f7434275d014599470f0dbf0ebd7fb65e8bd3c0ba75d0e207bd3051eff
sourcetools	0.1.7-2	sourcetools_0.1.7-2.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/sourcetools_0.1.7-2.tar.gz	sha256:07e584b780d7fcdfa5b527214361fface49350ab49cf901bd3d5c15950e4f1a7
spatial	7.3-17	spatial_7.3-17.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/spatial_7.3-17.tar.gz	sha256:8a9707ac1d5e2b067ac97d90d897a9ac0964ca7ac5b734b60cfc5bb720b343e2
stringi	1.8.4	stringi_1.8.4.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/stringi_1.8.4.tar.gz	sha256:c219f8f64d1a2bfd4ca9528452d44d30db1899af14f4b9ef248412443bc669f3
stringr	1.5.1	stringr_1.5.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/stringr_1.5.1.tar.gz	sha256:a4adec51bb3f04214b1d8ef40d3a58949f21b1497cbeaf2ba552e0891eef45de
survival	3.7-0	survival_3.7-0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/survival_3.7-0.tar.gz	sha256:134da8d50f2cbde922278d71a1934f213959c3d9731d32d4585dd89a74695cfe
sys	3.4.3	sys_3.4.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/sys_3.4.3.tar.gz	sha256:051e7332e3074db826efef9059067721864f9d70adc55bbcae3a72e5ae83913a
tibble	3.3.1	tibble_3.3.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/tibble_3.3.1.tar.gz	sha256:fb309f8a1939021b237c7e85ff7ad6e8ff5acd57a6230d220a452094b492b28f
